Product,Firm,Plan,Family,D,D_rules,D_book,P_pay
FXIFY Instant,FXIFY,Instant Standard,instant,39.3,34.0,45.8,0.54162
FN Stellar Instant,FundedNext,Stellar Instant,instant,46.9,46.9,46.8,0.53151
FundingTraders 2-Step,Funding Traders,2-Step,2-step,62.7,42.9,87.0,0.13016
Goat 2-Step,Goat Funded,2-Step Standard,2-step,62.8,42.9,87.1,0.12901
TFT Standard,The Funded Trader,Standard,2-step,62.8,42.9,87.1,0.12943
Fintokei ProTrader,Fintokei,ProTrader,2-step,62.9,42.9,87.4,0.12581
Maven 2-Step,Maven,2-Step,2-step,62.9,42.9,87.3,0.12736
FP 2-Step Standard,FundingPips,2-Step Standard,2-step,62.9,42.9,87.4,0.12593
FN Stellar 2-Step,FundedNext,Stellar 2-Step,2-step,63.2,43.7,87.1,0.12866
FTMO 2-Step,FTMO,2-Step,2-step,63.2,43.5,87.3,0.12748
BrightFunded 2-Step,BrightFunded,2-Step,2-step,63.2,43.7,87.1,0.12926
Alpha Pro 10%,Alpha Capital,Pro 10%,2-step,63.6,43.5,88.2,0.11819
CTI 2-Step,City Traders Imperium,2-Step,2-step,63.8,43.5,88.7,0.11312
Verodus 2-Step Pro,Verodus,2-Step Pro,2-step,64.0,44.3,88.0,0.11998
FP 2-Step Flex,FundingPips,2-Step Flex,2-step,64.9,47.9,85.7,0.14345
FP 1-Step Flex,FundingPips,1-Step Flex,1-step,64.9,50.2,82.9,0.17107
5ers High Stakes,The5ers,High Stakes,2-step,66.1,47.4,88.8,0.11174
Hola 2-Step Prime,Hola Prime,2-Step Prime,2-step,66.6,49.3,87.7,0.12337
BG 1-Step,Blue Guardian,1-Step Standard,1-step,67.5,53.2,84.9,0.15092
BG 2-Step,Blue Guardian,2-Step Standard,2-step,70.7,56.1,88.4,0.11584
TFT Royal,The Funded Trader,Royal 1-Step,1-step,75.2,65.3,87.2,0.12778
Fintokei SwiftTrader,Fintokei,SwiftTrader,1-step,75.3,65.3,87.5,0.12509
5ers Hyper Growth,The5ers,Hyper Growth,1-step,77.0,70.6,84.8,0.15163
FN Stellar Lite,FundedNext,Stellar Lite,2-step,77.1,68.1,88.0,0.11968
Ment 2-Step,Ment Funding,2-Step,2-step,77.3,67.3,89.5,0.10504
ForTraders 2-Step,For Traders,2-Step,2-step,77.4,67.3,89.6,0.10351
Verodus 2-Step Lite,Verodus,2-Step Lite,2-step,77.7,68.1,89.4,0.10616
FTMO 1-Step,FTMO,1-Step,1-step,78.9,72.7,86.5,0.13508
FXIFY 2-Step,FXIFY,2-Step,2-step,80.9,72.6,91.1,0.08897
Verodus 1-Step,Verodus,1-Step,1-step,81.5,73.5,91.2,0.08808
FN Stellar 1-Step,FundedNext,Stellar 1-Step,1-step,81.9,78.8,85.7,0.14278
BG Instant,Blue Guardian,Instant,instant,84.2,89.2,77.9,0.2206199999999999
Hola 1-Step Prime,Hola Prime,1-Step Prime,1-step,85.9,85.2,86.8,0.13238
IF Instant,Instant Funding,Instant,instant,88.0,95.7,78.6,0.21449
Alpha One 10%,Alpha Capital,One 10%,1-step,88.9,85.5,93.0,0.06954
Verodus Instant,Verodus,Instant,instant,89.2,98.4,77.9,0.2207
Hola Direct,Hola Prime,Direct,instant,89.3,100.0,76.2,0.23775
Goat Instant,Goat Funded,Instant GOAT,instant,92.5,100.0,83.4,0.16626
FP Zero,FundingPips,Zero,instant,92.7,99.4,84.7,0.15339
FXIFY Instant Lite,FXIFY,Instant Lite,instant,92.9,100.0,84.3,0.15732
FP 2-Step Pro,FundingPips,2-Step Pro,2-step,94.1,97.3,90.1,0.09872
Maven 3-Step,Maven,3-Step,3-step,94.2,93.6,94.9,0.05089
Alpha Instant,Alpha Capital,Instant,instant,94.2,100.0,87.0,0.12954
Alpha Pro 6%,Alpha Capital,Pro 6%,2-step,94.5,97.3,91.0,0.08958
E8 One 6%,E8 Markets,E8 One 6%,1-step,95.7,98.8,92.0,0.0799
E8 Signature,E8 Markets,Signature,1-step,97.0,100.0,93.4,0.0658
5ers Bootcamp,The5ers,Bootcamp,3-step,97.9,100.0,95.4,0.04649
