Product,Firm,Plan,Family,Profile,Weight,Phase1,Phase2,EvalPass,Funded,P_pay,P_yr1,E_payout_100k,Avg_days
FH Classic 2-Step,FundedHive,Classic 2-Step (NewBee),2-step,Pro,0.07,0.8771428571428571,0.8042857142857143,0.8042857142857143,0.7157142857142857,0.7157142857142857,0.23285714285714285,414.78533071917354,112.78571428571429
FH Classic 2-Step,FundedHive,Classic 2-Step (NewBee),2-step,Semi-skilled,0.22,0.65,0.43714285714285717,0.43714285714285717,0.3585714285714286,0.3585714285714286,0.09714285714285714,222.82739697864096,116.76
FH Classic 2-Step,FundedHive,Classic 2-Step (NewBee),2-step,Average,0.26,0.2,0.05714285714285714,0.05714285714285714,0.04,0.04,0.02,41.57549373578692,70.26857142857143
FH Classic 2-Step,FundedHive,Classic 2-Step (NewBee),2-step,Aggressive,0.28,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.3385714285714285
FH Classic 2-Step,FundedHive,Classic 2-Step (NewBee),2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16
FH PFP 2-Step,FundedHive,Pay From Profits 2-Step,2-step,Pro,0.07,0.8857142857142857,0.7985714285714286,0.7985714285714286,0.6957142857142857,0.6957142857142857,0.2342857142857143,452.7282473449321,112.63285714285715
FH PFP 2-Step,FundedHive,Pay From Profits 2-Step,2-step,Semi-skilled,0.22,0.6057142857142858,0.40285714285714286,0.40285714285714286,0.33285714285714285,0.33285714285714285,0.10428571428571429,242.33343313871845,121.0
FH PFP 2-Step,FundedHive,Pay From Profits 2-Step,2-step,Average,0.26,0.1742857142857143,0.041428571428571426,0.041428571428571426,0.024285714285714285,0.024285714285714285,0.011428571428571429,23.72624320215185,63.10285714285714
FH PFP 2-Step,FundedHive,Pay From Profits 2-Step,2-step,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3514285714285714
FH PFP 2-Step,FundedHive,Pay From Profits 2-Step,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1328571428571428
FH PFP 1-Step,FundedHive,Pay From Profits 1-Step,1-step,Pro,0.07,0.87,0.87,0.87,0.7528571428571429,0.7528571428571429,0.2571428571428571,505.9054485177941,89.57428571428571
FH PFP 1-Step,FundedHive,Pay From Profits 1-Step,1-step,Semi-skilled,0.22,0.57,0.57,0.57,0.47714285714285715,0.47714285714285715,0.15857142857142856,350.7596419141864,100.73142857142857
FH PFP 1-Step,FundedHive,Pay From Profits 1-Step,1-step,Average,0.26,0.15142857142857144,0.15142857142857144,0.15142857142857144,0.10142857142857142,0.10142857142857142,0.03428571428571429,110.2890552192249,65.09428571428572
FH PFP 1-Step,FundedHive,Pay From Profits 1-Step,1-step,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3257142857142856
FH PFP 1-Step,FundedHive,Pay From Profits 1-Step,1-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1514285714285715
FH Instant Growth,FundedHive,Instant Growth L1,instant,Pro,0.07,0.9657142857142857,0.9657142857142857,0.9657142857142857,0.9657142857142857,0.9657142857142857,0.32571428571428573,582.4834375496215,6.182857142857143
FH Instant Growth,FundedHive,Instant Growth L1,instant,Semi-skilled,0.22,0.9271428571428572,0.9271428571428572,0.9271428571428572,0.9271428571428572,0.9271428571428572,0.30142857142857143,627.3367957399549,8.532857142857143
FH Instant Growth,FundedHive,Instant Growth L1,instant,Average,0.26,0.7257142857142858,0.7257142857142858,0.7257142857142858,0.7257142857142858,0.7257142857142858,0.23857142857142857,762.6391661830371,13.801428571428572
FH Instant Growth,FundedHive,Instant Growth L1,instant,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1457142857142857
FH Instant Growth,FundedHive,Instant Growth L1,instant,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1442857142857144
