Product,Firm,Plan,Family,Discount,Refund,Split,Phase1,Funded,P_pay,P_yr1,E_payout_100k,Avg_days
Verodus Instant,Verodus,Instant,instant,VERO35,none,0.8,0.2207,0.2207,0.2207,0.07161,875.2539713637647,27.558020000000003
Verodus 1-Step,Verodus,1-Step,1-step,VERO35,first,0.8,0.1262,0.08808,0.08808,0.029210000000000003,108.10397491564329,41.49552
Verodus 2-Step Lite,Verodus,2-Step Lite,2-step,VERO35,first,0.8,0.21489000000000003,0.11112,0.11112,0.03604,135.7108075530967,49.490309999999994
Verodus 2-Step Pro,Verodus,2-Step Pro,2-step,VERO35,first,0.8,0.21632,0.11991,0.11991,0.04174,131.96562663126977,56.531969999999994
FTMO 1-Step,FTMO,1-Step,1-step,,none,0.9,0.18605000000000002,0.1343,0.1343,0.04324,263.2633397205304,45.284150000000004
FTMO 2-Step,FTMO,2-Step,2-step,,first,0.8,0.21765,0.127,0.127,0.04136,90.82720740689479,55.71843
FN Stellar 1-Step,FundedNext,Stellar 1-Step,1-step,,fourth,0.8,0.18573000000000003,0.14192,0.14192,0.04571,113.267783646744,42.018209999999996
FN Stellar 2-Step,FundedNext,Stellar 2-Step,2-step,,first,0.8,0.23822,0.12872,0.12872,0.04145,91.04826117476019,51.44887000000001
FN Stellar Lite,FundedNext,Stellar Lite,2-step,,first,0.8,0.21610000000000001,0.11932,0.11932,0.03606,89.61113566162439,46.51576
FN Stellar Instant,FundedNext,Stellar Instant,instant,,first,0.8,0.5294200000000001,0.5294200000000001,0.5294200000000001,0.1722,613.3557544785343,8.30293
5ers High Stakes,The5ers,High Stakes,2-step,,none,0.8,0.2221,0.11212000000000001,0.11212000000000001,0.03587,231.0261690951946,58.516380000000005
5ers Hyper Growth,The5ers,Hyper Growth,1-step,,none,0.5,0.19863000000000003,0.14861000000000002,0.14861000000000002,0.04447,81.67080909126116,45.21679
5ers Bootcamp,The5ers,Bootcamp,3-step,,none,0.5,0.2518,0.046400000000000004,0.046400000000000004,0.01322,23.819156890283335,50.648770000000006
FP Zero,FundingPips,Zero,instant,HELLO 20% (not $100k),none,0.8,0.15330000000000002,0.15330000000000002,0.15330000000000002,0.050420000000000006,822.5445311689199,32.16359
FP 1-Step Flex,FundingPips,1-Step Flex,1-step,HELLO 20% (not $100k),fourth,0.85,0.20819,0.1715,0.1715,0.05522,141.17447080127948,54.51185
FP 2-Step Standard,FundingPips,2-Step Standard,2-step,HELLO 20% (not $100k),fourth,0.8,0.24234,0.12564,0.12564,0.0414,133.97878490626792,52.711510000000004
FP 2-Step Flex,FundingPips,2-Step Flex,2-step,HELLO 20% (not $100k),none,0.85,0.24601,0.14349,0.14349,0.04762,103.68271625809136,57.69077
FP 2-Step Pro,FundingPips,2-Step Pro,2-step,HELLO 20% (not $100k),none,0.8,0.26475,0.09878,0.09878,0.031069999999999997,107.61256396705063,44.030680000000004
E8 One 6%,E8 Markets,E8 One 6%,1-step,,none,0.8,0.13557000000000002,0.08005000000000001,0.08005000000000001,0.026770000000000002,186.74049174142914,40.62867000000001
E8 Signature,E8 Markets,Signature,1-step,,none,0.8,0.12755,0.06616,0.06616,0.020220000000000002,152.4735536741802,28.62281
Alpha Instant,Alpha Capital,Instant,instant,FUNDED40,none,0.8,0.12954000000000002,0.12954000000000002,0.12954000000000002,0.04186000000000001,689.8947281354746,31.867939999999997
Alpha One 10%,Alpha Capital,One 10%,1-step,ALPHA20,none,0.8,0.11227000000000001,0.06954,0.06954,0.02127,155.7977395501082,40.93441000000001
Alpha Pro 6%,Alpha Capital,Pro 6%,2-step,ALPHA20,none,0.8,0.23639000000000002,0.08958,0.08958,0.02599,106.59115877466364,45.37044
Alpha Pro 10%,Alpha Capital,Pro 10%,2-step,ALPHA20,none,0.8,0.21933,0.11819,0.11819,0.037820000000000006,127.02774524796415,55.179320000000004
Goat Instant,Goat Funded,Instant GOAT,instant,~20% promo,none,0.8,0.16626,0.16626,0.16626,0.04918,845.8638152743656,31.305049999999998
Goat 2-Step,Goat Funded,2-Step Standard,2-step,~20% promo,first,0.8,0.2498,0.12901,0.12901,0.04103,137.59665579883358,53.981860000000005
Maven 2-Step,Maven,2-Step,2-step,~20% promo,first,0.8,0.24589999999999998,0.12736,0.12736,0.04131,136.28070727232188,53.60772
Maven 3-Step,Maven,3-Step,3-step,~20% promo,first,0.8,0.24982000000000004,0.050890000000000005,0.050890000000000005,0.016380000000000002,63.55156822137874,52.004020000000004
Hola Direct,Hola Prime,Direct,instant,MATCH20,quarter_x4,0.8,0.23775000000000002,0.23775000000000002,0.23775000000000002,0.08737000000000002,920.3188746399721,27.612350000000003
Hola 1-Step Prime,Hola Prime,1-Step Prime,1-step,MATCH20,quarter_x4,0.8,0.18504,0.13238000000000003,0.13238000000000003,0.042589999999999996,147.94965746411702,42.74665
Hola 2-Step Prime,Hola Prime,2-Step Prime,2-step,MATCH20,quarter_x4,0.8,0.22744000000000003,0.12337,0.12337,0.043890000000000005,137.83866481200425,52.92853
FXIFY 2-Step,FXIFY,2-Step,2-step,~20% typical,first,0.8,0.18397000000000002,0.08897000000000001,0.08897000000000001,0.03114,62.12960269343998,50.834030000000006
FXIFY Instant Lite,FXIFY,Instant Lite,instant,,none,0.8,0.15732,0.15732,0.15732,0.05056,679.7435795691067,32.482549999999996
FXIFY Instant,FXIFY,Instant Standard,instant,~20% typical,none,0.8,0.54162,0.54162,0.54162,0.17905000000000004,715.5811222454415,9.049410000000002
IF Instant,Instant Funding,Instant,instant,~20% typical,none,0.8,0.21449000000000001,0.21449000000000001,0.21449000000000001,0.06942000000000001,841.1746060897233,27.24647
Fintokei ProTrader,Fintokei,ProTrader,2-step,20% OFF listed,first,0.8,0.24664,0.12581,0.12581,0.04134,142.9596791313586,53.47418
Fintokei SwiftTrader,Fintokei,SwiftTrader,1-step,20% OFF listed,first,0.8,0.18212,0.12509,0.12509,0.04172,148.12840424113853,41.185030000000005
ForTraders 2-Step,For Traders,2-Step,2-step,~20% typical,first,0.8,0.2227,0.10351,0.10351,0.032400000000000005,122.29271006877256,47.99877
TFT Standard,The Funded Trader,Standard,2-step,~20% typical,first,0.8,0.245,0.12943000000000002,0.12943000000000002,0.03923000000000001,145.22353358318875,53.389120000000005
TFT Royal,The Funded Trader,Royal 1-Step,1-step,~20% typical,none,0.8,0.19049000000000002,0.12778,0.12778,0.043340000000000004,158.11835476197237,44.50495000000001
CTI 2-Step,City Traders Imperium,2-Step,2-step,~20% typical,first,0.8,0.21450000000000002,0.11312000000000001,0.11312000000000001,0.03617,126.8287398575205,56.26488
FundingTraders 2-Step,Funding Traders,2-Step,2-step,~20% typical,first,0.8,0.24262,0.13016000000000003,0.13016000000000003,0.04437,146.698136925853,52.238850000000006
BG Instant,Blue Guardian,Instant,instant,~20% typical,none,0.8,0.22092,0.22092,0.22092,0.06936,827.8933587549718,25.31961
BG 1-Step,Blue Guardian,1-Step Standard,1-step,~20% typical,first,0.8,0.20478,0.15092,0.15092,0.04879000000000001,185.91751109127858,45.056380000000004
BG 2-Step,Blue Guardian,2-Step Standard,2-step,~20% typical,first,0.8,0.23182,0.11584,0.11584,0.03901,136.58178960163997,52.861850000000004
BrightFunded 2-Step,BrightFunded,2-Step,2-step,~20% typical,first,0.8,0.23493,0.12926,0.12926,0.04164,141.72885544649122,54.33135000000001
Ment 2-Step,Ment Funding,2-Step,2-step,~20% typical,first,0.8,0.22056,0.10504,0.10504,0.03409,122.52546330032486,48.01961000000001
