Product,Firm,Plan,Family,Profile,Weight,Phase1,Funded,P_pay,P_yr1,E_payout_100k,E_payout_if_paid,Avg_days
Verodus Instant,Verodus,Instant,instant,Pro,0.07,0.762,0.762,0.762,0.243,2709.1251399650637,3555.282335912157,45.812
Verodus Instant,Verodus,Instant,instant,Semi-skilled,0.22,0.587,0.587,0.587,0.182,2216.7828519485342,3776.4614172888146,48.149
Verodus Instant,Verodus,Instant,instant,Average,0.26,0.147,0.147,0.147,0.056,761.2422466828182,5178.5186849171305,50.755
Verodus Instant,Verodus,Instant,instant,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.302
Verodus Instant,Verodus,Instant,instant,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.162
Verodus 1-Step,Verodus,1-Step,1-step,Pro,0.07,0.512,0.41,0.41,0.139,458.04476202023244,1117.1823463908106,83.88
Verodus 1-Step,Verodus,1-Step,1-step,Semi-skilled,0.22,0.316,0.225,0.225,0.072,276.7055025514738,1229.8022335621058,71.449
Verodus 1-Step,Verodus,1-Step,1-step,Average,0.26,0.078,0.038,0.038,0.014,58.32935004962606,1534.9828960427913,62.05
Verodus 1-Step,Verodus,1-Step,1-step,Aggressive,0.28,0.002,0.0,0.0,0.0,0.0,0.0,12.441
Verodus 1-Step,Verodus,1-Step,1-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.698
Verodus 2-Step Lite,Verodus,2-Step Lite,2-step,Pro,0.07,0.827,0.592,0.592,0.192,675.4051190274043,1140.887025384129,110.955
Verodus 2-Step Lite,Verodus,2-Step Lite,2-step,Semi-skilled,0.22,0.547,0.286,0.286,0.098,339.6256623962739,1187.502316070888,106.006
Verodus 2-Step Lite,Verodus,2-Step Lite,2-step,Average,0.26,0.141,0.026,0.026,0.004,52.74924420768516,2028.8170849109677,67.639
Verodus 2-Step Lite,Verodus,2-Step Lite,2-step,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,2.125
Verodus 2-Step Lite,Verodus,2-Step Lite,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.3
Verodus 2-Step Pro,Verodus,2-Step Pro,2-step,Pro,0.07,0.854,0.633,0.633,0.202,650.30121173586,1027.3320880503315,129.48
Verodus 2-Step Pro,Verodus,2-Step Pro,2-step,Semi-skilled,0.22,0.572,0.32,0.32,0.116,358.24894666073413,1119.5279583147942,128.028
Verodus 2-Step Pro,Verodus,2-Step Pro,2-step,Average,0.26,0.117,0.02,0.02,0.008,29.345282863069436,1467.2641431534717,71.282
Verodus 2-Step Pro,Verodus,2-Step Pro,2-step,Aggressive,0.28,0.001,0.0,0.0,0.0,0.0,0.0,1.944
Verodus 2-Step Pro,Verodus,2-Step Pro,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.321
FTMO 1-Step,FTMO,1-Step,1-step,Pro,0.07,0.805,0.674,0.674,0.222,1197.1622578775514,1776.2051303821238,94.122
FTMO 1-Step,FTMO,1-Step,1-step,Semi-skilled,0.22,0.476,0.344,0.344,0.107,670.0801178434037,1947.9073193122201,97.944
