Kind,Plan,Size,Addon,Pct,List,Sticker,Sale,E,P_pay,BE,px_20,px_40,px_60,Cost,Sale_m
challenge,Instant,5000,Challenge,,75,49.00,49.0000,13.609303,0.220033,13.609303,17.011629,22.682172,34.023258,13.609303,0.722259
challenge,Instant,10000,Challenge,,106,69.00,69.0000,27.218606,0.220033,27.218606,34.023258,45.364344,68.046516,27.218606,0.605527
challenge,Instant,25000,Challenge,,229,149.00,149.0000,68.046516,0.220033,68.046516,85.058144,113.410859,170.116289,68.046516,0.543312
challenge,Instant,50000,Challenge,,368,239.00,239.0000,136.093031,0.220033,136.093031,170.116289,226.821718,340.232578,136.093031,0.430573
challenge,Instant,100000,Challenge,,675,439.00,439.0000,272.186062,0.220033,272.186062,340.232578,453.643437,680.465155,272.186062,0.379986
challenge,1-Step,5000,Challenge,,69,45.00,45.0000,6.214359,0.093567,6.855837,8.569796,11.426395,17.139592,10.424859,0.768336
challenge,1-Step,10000,Challenge,,106,69.00,69.0000,12.428718,0.093567,13.711673,17.139592,22.852789,34.279184,18.884818,0.726307
challenge,1-Step,25000,Challenge,,198,129.00,129.0000,31.071795,0.093567,34.279184,42.848980,57.131973,85.697959,43.141895,0.665567
challenge,1-Step,50000,Challenge,,337,219.00,219.0000,62.143589,0.093567,68.558367,85.697959,114.263945,171.395918,82.634689,0.622673
challenge,1-Step,100000,Challenge,,583,379.00,379.0000,124.287179,0.093567,137.116735,171.395918,228.527891,342.791836,159.748945,0.578499
challenge,1-Step,200000,Challenge,,1075,699.00,699.0000,248.574358,0.093567,274.233469,342.791836,457.055782,685.583673,313.977458,0.550819
challenge,2-Step Lite,5000,Challenge,,60,39.00,39.0000,6.902767,0.110717,7.762168,9.702710,12.936947,19.405420,11.220717,0.712289
challenge,2-Step Lite,10000,Challenge,,85,55.00,55.0000,13.805533,0.110717,15.524336,19.405420,25.873893,38.810840,19.894950,0.638274
challenge,2-Step Lite,25000,Challenge,,177,115.00,115.0000,34.513833,0.110717,38.810840,48.513550,64.684733,97.027099,47.246249,0.589163
challenge,2-Step Lite,50000,Challenge,,260,169.00,169.0000,69.027666,0.110717,77.621679,97.027099,129.369465,194.054198,87.738782,0.480836
challenge,2-Step Lite,100000,Challenge,,475,309.00,309.0000,138.055331,0.110717,155.243358,194.054198,258.738931,388.108396,172.266781,0.442502
challenge,2-Step Lite,200000,Challenge,,922,599.00,599.0000,276.110663,0.110717,310.486717,388.108396,517.477861,776.216792,342.429946,0.428331
challenge,2-Step Pro,5000,Challenge,,69,45.00,45.0000,7.090579,0.125567,8.108770,10.135962,13.514617,20.271925,12.741079,0.716865
challenge,2-Step Pro,10000,Challenge,,91,59.00,59.0000,14.181158,0.125567,16.217540,20.271925,27.029233,40.543850,21.589591,0.634075
challenge,2-Step Pro,25000,Challenge,,192,125.00,125.0000,35.452894,0.125567,40.543850,50.679812,67.573083,101.359625,51.148727,0.590810
challenge,2-Step Pro,50000,Challenge,,306,199.00,199.0000,70.905788,0.125567,81.087700,101.359625,135.146167,202.719250,95.893554,0.518123
challenge,2-Step Pro,100000,Challenge,,537,349.00,349.0000,141.811575,0.125567,162.175400,202.719250,270.292333,405.438500,185.634342,0.468096
challenge,2-Step Pro,200000,Challenge,,1075,699.00,699.0000,283.623151,0.125567,324.350800,405.438500,540.584666,810.876999,371.394251,0.468678
addon,Instant,5000,Weekend Holding,0.1500,75,11.00,7.1500,1.088744,0.000000,1.088744,1.360930,1.814574,2.721861,1.088744,0.847728
addon,Instant,5000,Weekly 70%,0.0600,75,5.00,3.2500,1.088744,0.000000,1.088744,1.360930,1.814574,2.721861,1.088744,0.665002
addon,Instant,5000,On Demand 90%,0.3200,75,24.00,15.6000,5.579814,0.000000,5.579814,6.974768,9.299690,13.949536,5.579814,0.642320
addon,Instant,10000,Weekend Holding,0.1500,106,16.00,10.4000,2.177488,0.000000,2.177488,2.721861,3.629147,5.443721,2.177488,0.790626
addon,Instant,10000,Weekly 70%,0.0600,106,6.00,3.9000,2.177488,0.000000,2.177488,2.721861,3.629147,5.443721,2.177488,0.441670
addon,Instant,10000,On Demand 90%,0.3200,106,34.00,22.1000,11.159629,0.000000,11.159629,13.949536,18.599381,27.899071,11.159629,0.495039
addon,Instant,25000,Weekend Holding,0.1500,229,34.00,22.1000,5.443721,0.000000,5.443721,6.804652,9.072869,13.609303,5.443721,0.753678
