Plan,Size,Basis,BE,E_used,E_first,px_20,px_40,px_60,Live,Rec,Rec_m
Instant,5000,year-1,14.2,14.2,43.76,17.75,23.67,35.5,72.0,49,0.7102
Instant,10000,year-1,28.4,28.4,87.53,35.5,47.33,71.0,121.0,69,0.5884
Instant,25000,year-1,71.0,71.0,218.81,88.75,118.33,177.49,242.0,139,0.4892
Instant,50000,year-1,142.0,142.0,437.63,177.49,236.66,354.99,389.0,239,0.4059
Instant,100000,year-1,283.99,283.99,875.25,354.99,473.32,709.98,676.0,439,0.3531
1-Step,5000,first,5.93,5.41,5.41,7.41,9.88,14.82,36.0,36,0.7618
1-Step,10000,first,11.85,10.81,10.81,14.82,19.76,29.64,60.0,60,0.7317
1-Step,25000,first,29.64,27.03,27.03,37.05,49.39,74.09,120.0,120,0.6867
1-Step,50000,first,59.27,54.05,54.05,74.09,98.79,148.18,193.0,193,0.6319
1-Step,100000,first,118.55,108.1,108.1,148.18,197.58,296.36,335.0,335,0.5892
1-Step,200000,first,237.09,216.21,216.21,296.36,395.15,592.73,654.0,654,0.5813
2-Step Lite,5000,first,7.61,6.8,6.8,9.51,12.68,19.02,18.0,42,0.7926
2-Step Lite,10000,first,15.22,13.6,13.6,19.02,25.36,38.04,33.0,55,0.689
2-Step Lite,25000,first,38.04,34.0,34.0,47.55,63.4,95.1,66.0,94,0.5637
2-Step Lite,50000,first,76.08,68.0,68.0,95.1,126.8,190.2,133.0,149,0.4488
2-Step Lite,100000,first,152.16,136.01,136.01,190.2,253.6,380.4,241.0,269,0.3993
2-Step Lite,200000,first,304.32,272.02,272.02,380.4,507.21,760.81,477.0,499,0.3534
2-Step Pro,5000,first,7.53,6.63,6.63,9.41,12.55,18.83,20.0,45,0.7994
2-Step Pro,10000,first,15.06,13.25,13.25,18.83,25.1,37.65,36.0,59,0.7021
2-Step Pro,25000,first,37.65,33.14,33.14,47.07,62.76,94.13,85.0,95,0.5439
2-Step Pro,50000,first,75.31,66.27,66.27,94.13,125.51,188.27,163.0,159,0.4602
2-Step Pro,100000,first,150.61,132.54,132.54,188.27,251.02,376.53,296.0,289,0.4185
2-Step Pro,200000,first,301.23,265.08,265.08,376.53,502.04,753.06,577.0,577,0.4206
