Family,Firm,Plan,Size,BE,Street,Street_rank,Street_n,px_40,px_60,P_pay,rank_at_40,n_at_40,rank_at_60,n_at_60
1-step,Fintokei,SwiftTrader,5000,8.47,35.0,1,9,14.11,21.16,0.12509,,,,
1-step,Verodus,1-Step,5000,5.93,36.0,2,9,9.88,14.82,0.08808,1.0,9.0,1.0,9.0
1-step,Alpha Capital,One 10%,5000,7.79,40.0,3,9,12.98,19.47,0.06954,,,,
1-step,Blue Guardian,1-Step Standard,5000,10.95,47.0,4,9,18.25,27.37,0.15092,,,,
1-step,Hola Prime,1-Step Prime,5000,7.96,47.0,4,9,13.26,19.89,0.13238,,,,
1-step,FundingPips,1-Step Flex,5000,7.49,53.0,6,9,12.48,18.72,0.17107,,,,
1-step,E8 Markets,E8 One 6%,5000,9.32,59.0,7,9,15.53,23.29,0.0799,,,,
1-step,The Funded Trader,Royal 1-Step,5000,7.91,63.0,8,9,13.18,19.76,0.12778,,,,
1-step,The5ers,Hyper Growth,5000,4.23,260.0,9,9,7.05,10.58,0.15163,,,,
1-step,FundedNext,Stellar 1-Step,6000,7.17,66.0,1,1,11.95,17.93,0.14278,,,,
1-step,Verodus,1-Step,10000,11.85,60.0,1,10,19.76,29.64,0.08808,1.0,10.0,1.0,10.0
1-step,Fintokei,SwiftTrader,10000,16.93,71.0,2,10,28.22,42.33,0.12509,,,,
1-step,Hola Prime,1-Step Prime,10000,15.91,71.0,2,10,26.52,39.78,0.13238,,,,
1-step,Alpha Capital,One 10%,10000,15.58,78.0,4,10,25.97,38.95,0.06954,,,,
1-step,Blue Guardian,1-Step Standard,10000,21.9,79.0,5,10,36.49,54.74,0.15092,,,,
1-step,FundingPips,1-Step Flex,10000,14.98,79.0,5,10,24.96,37.44,0.17107,,,,
1-step,FTMO,1-Step,10000,26.5,92.0,7,10,44.16,66.24,0.13508,,,,
1-step,The Funded Trader,Royal 1-Step,10000,15.81,103.0,8,10,26.35,39.53,0.12778,,,,
1-step,E8 Markets,E8 One 6%,10000,18.63,138.0,9,10,31.05,46.58,0.0799,,,,
1-step,The5ers,Hyper Growth,10000,8.46,450.0,10,10,14.1,21.15,0.15163,,,,
1-step,FundedNext,Stellar 1-Step,15000,17.93,130.0,1,1,29.88,44.83,0.14278,,,,
1-step,The5ers,Hyper Growth,20000,16.92,850.0,1,1,28.21,42.31,0.15163,,,,
1-step,Verodus,1-Step,25000,29.64,120.0,1,11,49.39,74.09,0.08808,1.0,11.0,1.0,11.0
1-step,Hola Prime,1-Step Prime,25000,39.78,135.0,2,11,66.3,99.45,0.13238,,,,
1-step,Fintokei,SwiftTrader,25000,42.33,143.0,3,11,70.54,105.82,0.12509,,,,
1-step,Blue Guardian,1-Step Standard,25000,54.74,151.0,4,11,91.23,136.85,0.15092,,,,
1-step,Alpha Capital,One 10%,25000,38.95,158.0,5,11,64.92,97.37,0.06954,,,,
1-step,FundingPips,1-Step Flex,25000,37.44,169.0,6,11,62.4,93.61,0.17107,,,,
1-step,E8 Markets,Signature,25000,37.91,198.0,7,11,63.18,94.77,0.0658,,,,
1-step,The Funded Trader,Royal 1-Step,25000,39.53,199.0,8,11,65.88,98.82,0.12778,,,,
1-step,FundedNext,Stellar 1-Step,25000,29.88,220.0,9,11,49.81,74.71,0.14278,,,,
1-step,E8 Markets,E8 One 6%,25000,46.58,228.0,10,11,77.63,116.44,0.0799,,,,
1-step,FTMO,1-Step,25000,66.24,231.0,11,11,110.41,165.61,0.13508,,,,
