Plan,Size,N,Sale,List,BE,P_pay,E_cost,Sale_m,Wage,S_opex,Left,Book_left,Prints
Instant,5000,15,49,75,13.609303,0.220033,13.609303,0.722259,16.307207,40.346800,6.922560,103.838399,1
Instant,10000,25,69,106,27.218606,0.220033,27.218606,0.605527,16.734736,59.594004,7.524797,188.119918,1
Instant,25000,28,149,229,68.046516,0.220033,68.046516,0.543312,18.017326,117.335616,25.331507,709.282202,1
Instant,50000,18,239,368,136.093031,0.220033,136.093031,0.430573,20.154975,213.571636,20.342691,366.168444,1
Instant,100000,12,439,675,272.186062,0.220033,272.186062,0.379986,24.430272,406.043675,26.365060,316.380715,1
1-Step,5000,8,45,69,6.855837,0.093567,10.424859,0.768336,19.184949,34.657962,8.273631,66.189045,1
1-Step,10000,14,69,106,13.711673,0.093567,18.884818,0.726307,19.687925,44.713458,19.429234,272.009276,1
1-Step,25000,18,129,198,34.279184,0.093567,43.141895,0.665567,21.196854,74.879945,43.296044,779.328795,1
1-Step,50000,14,219,337,68.558367,0.093567,82.634689,0.622673,23.711735,125.157423,75.074061,1051.036857,1
1-Step,100000,10,379,583,137.116735,0.093567,159.748945,0.578499,28.741497,225.712381,122.630095,1226.300953,1
1-Step,200000,3,699,1075,274.233469,0.093567,313.977458,0.550819,38.801021,426.822296,217.742163,653.226490,1
2-Step Lite,5000,10,39,60,7.762168,0.110717,11.220717,0.712289,22.062691,39.501345,-0.401076,-4.010761,1
2-Step Lite,10000,18,55,85,15.524336,0.110717,19.894950,0.638274,22.641114,50.897354,3.282117,59.078098,1
2-Step Lite,25000,22,115,177,38.810840,0.110717,47.246249,0.589163,24.376382,85.085382,23.931695,526.497280,1
2-Step Lite,50000,16,169,260,77.621679,0.110717,87.738782,0.480836,27.268495,142.065428,21.547658,344.762526,1
2-Step Lite,100000,12,309,475,155.243358,0.110717,172.266781,0.442502,33.052721,256.025519,42.379585,508.555014,1
2-Step Lite,200000,4,599,922,310.486717,0.110717,342.429946,0.428331,44.621174,483.945703,92.043438,368.173751,1
2-Step Pro,5000,6,45,69,8.108770,0.125567,12.741079,0.716865,21.103444,38.778864,4.976909,29.861454,1
2-Step Pro,10000,12,59,91,16.217540,0.125567,21.589591,0.634075,21.656718,50.620015,6.703988,80.447859,1
2-Step Pro,25000,16,125,192,40.543850,0.125567,51.148727,0.590810,23.316539,86.143468,31.085226,497.363614,1
2-Step Pro,50000,14,199,306,81.087700,0.125567,95.893554,0.518123,26.082908,145.349223,42.920622,600.888706,1
2-Step Pro,100000,10,349,537,162.175400,0.125567,185.634342,0.468096,31.615646,263.760733,68.191414,681.914139,1
2-Step Pro,200000,5,699,1075,324.350800,0.125567,371.394251,0.468678,42.681123,500.583753,158.732998,793.664989,1

Book,N,Rev,Ads,BE,Error,Acct,Wage,Contrib,Left,Left_pct
challenge,310,54270.00,10854.00,23351.75,2335.17,310.00,7200.00,17419.08,10219.08,0.188301

Family,N,Rev,Left,Left_pct
Instant,98,16202.00,1683.79,0.103925
1-Step,67,12601.00,4048.09,0.321252
2-Step Lite,82,12718.00,1803.06,0.141772
2-Step Pro,63,12749.00,2684.14,0.210537

Scale_N,Rev,Wage,Left,Left_pct
150,26259.68,7200.00,1228.59,0.046786
310,54270.00,7200.00,10219.08,0.188301
600,105038.71,7200.00,26514.34,0.252425

Addon_card,Weekend_left,Weekly_left,OD_left,Total_left
rec_12_8_15-32,576.07,191.22,446.73,1214.03
checkout_15_6_20,763.72,113.90,347.60,1225.22
