Plan,Size,Basis,List,Sale,E_X,P_pay,P_yr1,BE,px_20,px_40,px_60,Sale_m,Cost
Instant,5000,year-1,91,59,14.199577908780968,0.2207,0.07161,14.199577908780968,17.74947238597621,23.665963181301613,35.49894477195242,0.7593291879867633,14.199577908780968
Instant,10000,year-1,106,69,28.399155817561937,0.2207,0.07161,28.399155817561937,35.49894477195242,47.33192636260323,70.99788954390483,0.5884180316295372,28.399155817561937
Instant,25000,year-1,152,99,70.99788954390483,0.2207,0.07161,70.99788954390483,88.74736192988104,118.32981590650806,177.49472385976208,0.28284960056661784,70.99788954390483
Instant,50000,year-1,291,189,141.99577908780967,0.2207,0.07161,141.99577908780967,177.49472385976208,236.65963181301612,354.98944771952415,0.2486995815459806,141.99577908780967
Instant,100000,year-1,552,359,283.99155817561933,0.2207,0.07161,283.99155817561933,354.98944771952415,473.31926362603224,709.9788954390483,0.20893716385621355,283.99155817561933
1-Step,5000,first,55,36,5.405198745782165,0.08808,0.02921,5.927272946949476,7.4090911836868445,9.878788244915793,14.818182367373689,0.7617755903949398,8.576078745782166
1-Step,10000,first,92,60,10.81039749156433,0.08808,0.02921,11.854545893898951,14.818182367373689,19.757576489831585,29.636364734747378,0.7317467084739278,16.09519749156433
1-Step,25000,first,185,120,27.025993728910823,0.08808,0.02921,29.63636473474737,37.045455918434214,49.39394122457895,74.09091183686843,0.6867033855924097,37.59559372891083
1-Step,50000,first,297,193,54.051987457821646,0.08808,0.02921,59.27272946949475,74.09091183686843,98.78788244915792,148.18182367373686,0.6318578888195769,71.05142745782165
1-Step,100000,first,515,335,108.10397491564328,0.08808,0.02921,118.5454589389895,148.18182367373686,197.57576489831584,296.3636473474737,0.5892215674159902,137.61077491564328
1-Step,200000,first,1006,654,216.20794983128656,0.08808,0.02921,237.090917877979,296.3636473474737,395.1515297966317,592.7272946949474,0.5813268045393172,273.8122698312866
2-Step Lite,5000,first,28,18,6.800423329115645,0.10616,0.03378,7.608099133083824,9.510123916354779,12.680165221806375,19.020247832709558,0.5160387039380196,8.711303329115646
2-Step Lite,10000,first,51,33,13.60084665823129,0.10616,0.03378,15.216198266167648,19.020247832709558,25.36033044361275,38.040495665419115,0.48169313156874877,17.10412665823129
2-Step Lite,25000,first,102,66,34.002116645578226,0.10616,0.03378,38.04049566541912,47.5506195817739,63.400826109031875,95.1012391635478,0.37865641446093595,41.00867664557823
2-Step Lite,50000,first,205,133,68.00423329115645,0.10616,0.03378,76.08099133083824,95.1012391635478,126.80165221806375,190.2024783270956,0.38252997525446275,82.12351329115646
2-Step Lite,100000,first,371,241,136.0084665823129,0.10616,0.03378,152.1619826616765,190.2024783270956,253.6033044361275,380.4049566541912,0.329489516255963,161.59302658231292
2-Step Lite,200000,first,734,477,272.0169331646258,0.10616,0.03378,304.323965323353,380.4049566541912,507.206608872255,760.8099133083824,0.32357389273663345,322.65525316462583
2-Step Pro,5000,first,31,20,6.627117371118915,0.11998,0.04195,7.530644043452325,9.413305054315405,12.551073405753876,18.82661010863081,0.5486641314440542,9.026717371118915
2-Step Pro,10000,first,55,36,13.25423474223783,0.11998,0.04195,15.06128808690465,18.82661010863081,25.10214681150775,37.65322021726162,0.5118468127156158,17.57351474223783
2-Step Pro,25000,first,131,85,33.135586855594575,0.11998,0.04195,37.65322021726163,47.06652527157703,62.75536702876938,94.13305054315406,0.49018956640476974,43.33388685559457
2-Step Pro,50000,first,251,163,66.27117371118915,0.11998,0.04195,75.30644043452325,94.13305054315406,125.51073405753876,188.2661010863081,0.47344838213994384,85.82791371118915
2-Step Pro,100000,first,455,296,132.5423474223783,0.11998,0.04195,150.6128808690465,188.2661010863081,251.0214681150775,376.5322021726162,0.4322417992487219,168.0564274223783
2-Step Pro,200000,first,888,577,265.0846948447566,0.11998,0.04195,301.225761738093,376.5322021726162,502.042936230155,753.0644043452324,0.42060111812000595,334.3131548447566
