Plan,Size,Basis,P_pay,P_yr1,E_first,E_used,BE,px_10,px_20,px_30,Live,Rec,List,Cost,Rec_m,Live_m
Instant,5000,year-1,0.2207,0.07161,43.76269856818824,14.199577908780968,14.199577908780968,15.777308787534409,17.74947238597621,20.285111298258528,72.0,59,91,14.199577908780968,0.7593291879867633,0.8027836401558199
Instant,10000,year-1,0.2207,0.07161,87.52539713637648,28.399155817561937,28.399155817561937,31.554617575068818,35.49894477195242,40.570222596517056,121.0,69,106,28.399155817561937,0.5884180316295372,0.7652962329127113
Instant,25000,year-1,0.2207,0.07161,218.8134928409412,70.99788954390483,70.99788954390483,78.88654393767203,88.74736192988104,101.42555649129262,242.0,99,152,70.99788954390483,0.28284960056661784,0.7066202911408892
Instant,50000,year-1,0.2207,0.07161,437.6269856818824,141.99577908780967,141.99577908780967,157.77308787534406,177.49472385976208,202.85111298258525,389.0,189,291,141.99577908780967,0.2486995815459806,0.6349722902627001
Instant,100000,year-1,0.2207,0.07161,875.2539713637648,283.99155817561933,283.99155817561933,315.5461757506881,354.98944771952415,405.7022259651705,676.0,359,552,283.99155817561933,0.20893716385621355,0.5798941447106223
1-Step,5000,first,0.08808,0.02921,5.405198745782165,5.405198745782165,5.927272946949476,6.585858829943861,7.4090911836868445,8.467532781356395,36.0,36,55,8.576078745782166,0.7617755903949398,0.7617755903949398
1-Step,10000,first,0.08808,0.02921,10.81039749156433,10.81039749156433,11.854545893898951,13.171717659887722,14.818182367373689,16.93506556271279,60.0,60,92,16.09519749156433,0.7317467084739278,0.7317467084739278
1-Step,25000,first,0.08808,0.02921,27.025993728910823,27.025993728910823,29.63636473474737,32.9292941497193,37.045455918434214,42.33766390678196,120.0,120,185,37.59559372891083,0.6867033855924097,0.6867033855924097
1-Step,50000,first,0.08808,0.02921,54.051987457821646,54.051987457821646,59.27272946949475,65.85858829943861,74.09091183686843,84.67532781356394,193.0,193,297,71.05142745782165,0.6318578888195769,0.6318578888195769
1-Step,100000,first,0.08808,0.02921,108.10397491564328,108.10397491564328,118.5454589389895,131.71717659887722,148.18182367373686,169.35065562712788,335.0,335,515,137.6107749156433,0.5892215674159902,0.5892215674159902
1-Step,200000,first,0.08808,0.02921,216.20794983128656,216.20794983128656,237.090917877979,263.43435319775443,296.3636473474737,338.70131125425576,654.0,654,1006,273.8122698312866,0.5813268045393172,0.5813268045393172
2-Step Lite,5000,first,0.10616,0.03378,6.800423329115645,6.800423329115645,7.608099133083824,8.453443481204248,9.510123916354779,10.868713047262606,18.0,18,28,8.711303329115646,0.5160387039380196,0.5160387039380196
2-Step Lite,10000,first,0.10616,0.03378,13.60084665823129,13.60084665823129,15.216198266167648,16.906886962408496,19.020247832709558,21.737426094525212,33.0,33,51,17.10412665823129,0.48169313156874877,0.48169313156874877
2-Step Lite,25000,first,0.10616,0.03378,34.002116645578226,34.002116645578226,38.04049566541912,42.267217406021246,47.5506195817739,54.34356523631303,66.0,66,102,41.00867664557823,0.37865641446093595,0.37865641446093595
2-Step Lite,50000,first,0.10616,0.03378,68.00423329115645,68.00423329115645,76.08099133083824,84.53443481204249,95.1012391635478,108.68713047262607,133.0,133,205,82.12351329115646,0.38252997525446275,0.38252997525446275
2-Step Lite,100000,first,0.10616,0.03378,136.0084665823129,136.0084665823129,152.1619826616765,169.06886962408498,190.2024783270956,217.37426094525213,241.0,241,371,161.59302658231292,0.329489516255963,0.329489516255963
2-Step Lite,200000,first,0.10616,0.03378,272.0169331646258,272.0169331646258,304.323965323353,338.13773924816996,380.4049566541912,434.74852189050426,477.0,477,734,322.65525316462583,0.32357389273663345,0.32357389273663345
2-Step Pro,5000,first,0.11998,0.04195,6.627117371118915,6.627117371118915,7.530644043452325,8.367382270502583,9.413305054315405,10.758062919217608,20.0,20,31,9.026717371118917,0.5486641314440541,0.5486641314440541
2-Step Pro,10000,first,0.11998,0.04195,13.25423474223783,13.25423474223783,15.06128808690465,16.734764541005166,18.82661010863081,21.516125838435215,36.0,36,55,17.57351474223783,0.5118468127156158,0.5118468127156158
2-Step Pro,25000,first,0.11998,0.04195,33.135586855594575,33.135586855594575,37.65322021726163,41.83691135251292,47.06652527157703,53.79031459608804,85.0,85,131,43.33388685559457,0.49018956640476974,0.49018956640476974
2-Step Pro,50000,first,0.11998,0.04195,66.27117371118915,66.27117371118915,75.30644043452325,83.67382270502584,94.13305054315406,107.58062919217608,163.0,163,251,85.82791371118915,0.47344838213994384,0.47344838213994384
2-Step Pro,100000,first,0.11998,0.04195,132.5423474223783,132.5423474223783,150.6128808690465,167.34764541005168,188.2661010863081,215.16125838435215,296.0,296,455,168.0564274223783,0.4322417992487219,0.4322417992487219
2-Step Pro,200000,first,0.11998,0.04195,265.0846948447566,265.0846948447566,301.225761738093,334.69529082010337,376.5322021726162,430.3225167687043,577.0,577,888,334.3131548447566,0.42060111812000595,0.42060111812000595
