Product,Profile,Reason,Count,Share_of_profile
Verodus Instant,Disciplined / Pro,max_dd,581,0.14525
Verodus Instant,Disciplined / Pro,post_funding_m12,330,0.0825
Verodus Instant,Disciplined / Pro,post_funding_m1,1348,0.337
Verodus Instant,Disciplined / Pro,post_funding_m3,499,0.12475
Verodus Instant,Disciplined / Pro,time_abandon,199,0.04975
Verodus Instant,Disciplined / Pro,rule_violation,21,0.00525
Verodus Instant,Disciplined / Pro,daily_dd,1,0.00025
Verodus Instant,Average Retail,daily_dd,3443,0.86075
Verodus Instant,Average Retail,time_abandon,35,0.00875
Verodus Instant,Average Retail,max_dd,511,0.12775
Verodus Instant,Average Retail,rule_violation,11,0.00275
Verodus Instant,Aggressive / Over-leveraged,daily_dd,3699,0.92475
Verodus Instant,Aggressive / Over-leveraged,max_dd,295,0.07375
Verodus Instant,Aggressive / Over-leveraged,rule_violation,6,0.0015
Verodus Instant,Scalper / High-frequency,daily_dd,3711,0.92775
Verodus Instant,Scalper / High-frequency,max_dd,269,0.06725
Verodus Instant,Scalper / High-frequency,time_abandon,12,0.003
Verodus Instant,Scalper / High-frequency,rule_violation,8,0.002
Verodus 1-Step,Disciplined / Pro,max_dd,1263,0.31575
Verodus 1-Step,Disciplined / Pro,post_funding_m1,858,0.2145
Verodus 1-Step,Disciplined / Pro,post_funding_m12,205,0.05125
Verodus 1-Step,Disciplined / Pro,funded_max_dd,86,0.0215
Verodus 1-Step,Disciplined / Pro,time_abandon,483,0.12075
Verodus 1-Step,Disciplined / Pro,post_funding_m3,339,0.08475
Verodus 1-Step,Disciplined / Pro,rule_violation,34,0.0085
Verodus 1-Step,Disciplined / Pro,funded_time_abandon,38,0.0095
Verodus 1-Step,Disciplined / Pro,funded_rule_violation,4,0.001
Verodus 1-Step,Average Retail,max_dd,1990,0.4975
Verodus 1-Step,Average Retail,daily_dd,1714,0.4285
Verodus 1-Step,Average Retail,time_abandon,152,0.038
Verodus 1-Step,Average Retail,post_funding_m12,4,0.001
Verodus 1-Step,Average Retail,funded_time_abandon,4,0.001
Verodus 1-Step,Average Retail,funded_max_dd,47,0.01175
Verodus 1-Step,Average Retail,funded_daily_dd,37,0.00925
Verodus 1-Step,Average Retail,rule_violation,30,0.0075
