Plan,Size,Addon,Key,Pct,Sticker,Extra,Left,BE,List,Sale
Instant,5000,Weekend holding,weekend,0.12,9,1.088744248040888,3.5912557519591126,13.6093031005111,75,49
Instant,5000,Weekly 80%,weekly,0.08,6,1.088744248040888,2.0312557519591126,13.6093031005111,75,49
Instant,5000,On Demand 80%,od80,0.15,11,1.633116372061332,4.086883627938668,13.6093031005111,75,49
Instant,5000,90% split,split90,0.15,11,1.7011628875638876,4.018837112436113,13.6093031005111,75,49
Instant,5000,90% On Demand,od90,0.32,24,5.579814271209551,6.9001857287904516,13.6093031005111,75,49
Instant,10000,Weekend holding,weekend,0.12,13,2.177488496081776,4.582511503918226,27.2186062010222,106,69
Instant,10000,Weekly 80%,weekly,0.08,8,2.177488496081776,1.9825115039182242,27.2186062010222,106,69
Instant,10000,On Demand 80%,od80,0.15,16,3.266232744122664,5.053767255877336,27.2186062010222,106,69
Instant,10000,90% split,split90,0.15,16,3.402325775127775,4.917674224872226,27.2186062010222,106,69
Instant,10000,90% On Demand,od90,0.32,34,11.159628542419101,6.520371457580902,27.2186062010222,106,69
Instant,25000,Weekend holding,weekend,0.12,26,5.4437212402044395,8.076278759795564,68.0465155025555,214,139
Instant,25000,Weekly 80%,weekly,0.08,17,5.4437212402044395,3.396278759795562,68.0465155025555,214,139
Instant,25000,On Demand 80%,od80,0.15,32,8.16558186030666,8.474418139693341,68.0465155025555,214,139
Instant,25000,90% split,split90,0.15,32,8.505814437819437,8.134185562180564,68.0465155025555,214,139
Instant,25000,90% On Demand,od90,0.32,68,27.899071356047752,7.460928643952254,68.0465155025555,214,139
Instant,50000,Weekend holding,weekend,0.12,44,10.887442480408879,11.992557519591124,136.093031005111,368,239
Instant,50000,Weekly 80%,weekly,0.08,29,10.887442480408879,4.192557519591123,136.093031005111,368,239
Instant,50000,On Demand 80%,od80,0.15,55,16.33116372061332,12.268836279386683,136.093031005111,368,239
Instant,50000,90% split,split90,0.15,55,17.011628875638873,11.588371124361128,136.093031005111,368,239
Instant,50000,90% On Demand,od90,0.32,118,55.798142712095505,5.561857287904502,136.093031005111,368,239
Instant,100000,Weekend holding,weekend,0.12,81,21.774884960817758,20.345115039182247,272.186062010222,675,439
Instant,100000,Weekly 80%,weekly,0.08,54,21.774884960817758,6.305115039182244,272.186062010222,675,439
Instant,100000,On Demand 80%,od80,0.15,101,32.66232744122664,19.857672558773373,272.186062010222,675,439
Instant,100000,90% split,split90,0.15,101,34.02325775127775,18.496742248722263,272.186062010222,675,439
Instant,100000,90% On Demand,od90,0.32,216,111.59628542419101,0.723714575808998,272.186062010222,675,439
1-Step,5000,Weekend holding,weekend,0.12,7,0.27423346913579166,3.3657665308642084,6.855836728394791,55,36
1-Step,5000,Weekly 80%,weekly,0.08,4,0.34279183641973954,1.7372081635802605,6.855836728394791,55,36
1-Step,5000,On Demand 80%,od80,0.12,7,0.34279183641973954,3.297208163580261,6.855836728394791,55,36
1-Step,5000,90% split,split90,0.12,7,0.8569795910493488,2.783020408950651,6.855836728394791,55,36
1-Step,5000,90% On Demand,od90,0.2,11,0.8569795910493488,4.863020408950652,6.855836728394791,55,36
1-Step,10000,Weekend holding,weekend,0.12,11,0.5484669382715833,5.171533061728417,13.711673456789581,92,60
1-Step,10000,Weekly 80%,weekly,0.08,7,0.6855836728394791,2.954416327160521,13.711673456789581,92,60
1-Step,10000,On Demand 80%,od80,0.12,11,0.6855836728394791,5.034416327160521,13.711673456789581,92,60
1-Step,10000,90% split,split90,0.12,11,1.7139591820986977,4.006040817901303,13.711673456789581,92,60
1-Step,10000,90% On Demand,od90,0.2,18,1.7139591820986977,7.646040817901303,13.711673456789581,92,60
1-Step,25000,Weekend holding,weekend,0.12,22,1.3711673456789581,10.068832654321042,34.27918364197395,185,120
1-Step,25000,Weekly 80%,weekly,0.08,15,1.7139591820986977,6.086040817901303,34.27918364197395,185,120
1-Step,25000,On Demand 80%,od80,0.12,22,1.7139591820986977,9.726040817901303,34.27918364197395,185,120
1-Step,25000,90% split,split90,0.12,22,4.284897955246744,7.155102044753257,34.27918364197395,185,120
1-Step,25000,90% On Demand,od90,0.2,37,4.284897955246744,14.955102044753257,34.27918364197395,185,120
1-Step,50000,Weekend holding,weekend,0.12,36,2.7423346913579163,15.977665308642086,68.5583672839479,297,193
1-Step,50000,Weekly 80%,weekly,0.08,24,3.4279183641973954,9.052081635802606,68.5583672839479,297,193
1-Step,50000,On Demand 80%,od80,0.12,36,3.4279183641973954,15.292081635802607,68.5583672839479,297,193
1-Step,50000,90% split,split90,0.12,36,8.569795910493488,10.150204089506515,68.5583672839479,297,193
1-Step,50000,90% On Demand,od90,0.2,59,8.569795910493488,22.110204089506517,68.5583672839479,297,193
1-Step,100000,Weekend holding,weekend,0.12,62,5.484669382715833,26.75533061728417,137.1167345678958,515,335
1-Step,100000,Weekly 80%,weekly,0.08,41,6.855836728394791,14.464163271605212,137.1167345678958,515,335
1-Step,100000,On Demand 80%,od80,0.12,62,6.855836728394791,25.38416327160521,137.1167345678958,515,335
1-Step,100000,90% split,split90,0.12,62,17.139591820986976,15.100408179013026,137.1167345678958,515,335
1-Step,100000,90% On Demand,od90,0.2,103,17.139591820986976,36.42040817901302,137.1167345678958,515,335
1-Step,200000,Weekend holding,weekend,0.12,121,10.969338765431665,51.950661234568344,274.2334691357916,1006,654
1-Step,200000,Weekly 80%,weekly,0.08,80,13.711673456789581,27.888326543210418,274.2334691357916,1006,654
1-Step,200000,On Demand 80%,od80,0.12,121,13.711673456789581,49.208326543210426,274.2334691357916,1006,654
1-Step,200000,90% split,split90,0.12,121,34.27918364197395,28.640816358026058,274.2334691357916,1006,654
1-Step,200000,90% On Demand,od90,0.2,201,34.27918364197395,70.24081635802605,274.2334691357916,1006,654
2-Step Lite,5000,Weekend holding,weekend,0.12,8,0.3104867168851464,3.8495132831148537,7.76216792212866,65,42
2-Step Lite,5000,Weekly 80%,weekly,0.08,5,0.38810839610643305,2.211891603893567,7.76216792212866,65,42
2-Step Lite,5000,On Demand 80%,od80,0.12,8,0.38810839610643305,3.7718916038935673,7.76216792212866,65,42
2-Step Lite,5000,90% split,split90,0.12,8,0.9702709902660825,3.1897290097339175,7.76216792212866,65,42
2-Step Lite,5000,90% On Demand,od90,0.2,13,0.9702709902660825,5.789729009733919,7.76216792212866,65,42
2-Step Lite,10000,Weekend holding,weekend,0.12,10,0.6209734337702928,4.579026566229707,15.52433584425732,85,55
2-Step Lite,10000,Weekly 80%,weekly,0.08,7,0.7762167922128661,2.863783207787134,15.52433584425732,85,55
2-Step Lite,10000,On Demand 80%,od80,0.12,10,0.7762167922128661,4.423783207787134,15.52433584425732,85,55
2-Step Lite,10000,90% split,split90,0.12,10,1.940541980532165,3.259458019467835,15.52433584425732,85,55
2-Step Lite,10000,90% On Demand,od90,0.2,17,1.940541980532165,6.899458019467836,15.52433584425732,85,55
2-Step Lite,25000,Weekend holding,weekend,0.12,17,1.552433584425732,7.28756641557427,38.8108396106433,145,94
2-Step Lite,25000,Weekly 80%,weekly,0.08,12,1.940541980532165,4.299458019467836,38.8108396106433,145,94
2-Step Lite,25000,On Demand 80%,od80,0.12,17,1.940541980532165,6.899458019467836,38.8108396106433,145,94
2-Step Lite,25000,90% split,split90,0.12,17,4.851354951330412,3.9886450486695892,38.8108396106433,145,94
2-Step Lite,25000,90% On Demand,od90,0.2,29,4.851354951330412,10.22864504866959,38.8108396106433,145,94
2-Step Lite,50000,Weekend holding,weekend,0.12,27,3.104867168851464,10.935132831148536,77.6216792212866,229,149
2-Step Lite,50000,Weekly 80%,weekly,0.08,18,3.88108396106433,5.478916038935671,77.6216792212866,229,149
2-Step Lite,50000,On Demand 80%,od80,0.12,27,3.88108396106433,10.15891603893567,77.6216792212866,229,149
2-Step Lite,50000,90% split,split90,0.12,27,9.702709902660825,4.337290097339176,77.6216792212866,229,149
2-Step Lite,50000,90% On Demand,od90,0.2,46,9.702709902660825,14.217290097339177,77.6216792212866,229,149
2-Step Lite,100000,Weekend holding,weekend,0.12,50,6.209734337702928,19.790265662297074,155.2433584425732,414,269
2-Step Lite,100000,Weekly 80%,weekly,0.08,33,7.76216792212866,9.397832077871339,155.2433584425732,414,269
2-Step Lite,100000,On Demand 80%,od80,0.12,50,7.76216792212866,18.23783207787134,155.2433584425732,414,269
2-Step Lite,100000,90% split,split90,0.12,50,19.40541980532165,6.59458019467835,155.2433584425732,414,269
2-Step Lite,100000,90% On Demand,od90,0.2,83,19.40541980532165,23.754580194678354,155.2433584425732,414,269
2-Step Lite,200000,Weekend holding,weekend,0.12,92,12.419468675405856,35.42053132459415,310.4867168851464,768,499
2-Step Lite,200000,Weekly 80%,weekly,0.08,61,15.52433584425732,16.195664155742676,310.4867168851464,768,499
2-Step Lite,200000,On Demand 80%,od80,0.12,92,15.52433584425732,32.31566415574268,310.4867168851464,768,499
2-Step Lite,200000,90% split,split90,0.12,92,38.8108396106433,9.029160389356704,310.4867168851464,768,499
2-Step Lite,200000,90% On Demand,od90,0.2,154,38.8108396106433,41.26916038935671,310.4867168851464,768,499
2-Step Pro,5000,Weekend holding,weekend,0.12,8,0.32435079962192365,3.8356492003780764,8.10876999054809,69,45
2-Step Pro,5000,Weekly 80%,weekly,0.08,6,0.4054384995274045,2.714561500472596,8.10876999054809,69,45
2-Step Pro,5000,On Demand 80%,od80,0.12,8,0.4054384995274045,3.7545615004725956,8.10876999054809,69,45
2-Step Pro,5000,90% split,split90,0.12,8,1.0135962488185113,3.146403751181489,8.10876999054809,69,45
2-Step Pro,5000,90% On Demand,od90,0.2,14,1.0135962488185113,6.266403751181489,8.10876999054809,69,45
2-Step Pro,10000,Weekend holding,weekend,0.12,11,0.6487015992438473,5.071298400756153,16.21753998109618,91,59
2-Step Pro,10000,Weekly 80%,weekly,0.08,7,0.810876999054809,2.829123000945191,16.21753998109618,91,59
2-Step Pro,10000,On Demand 80%,od80,0.12,11,0.810876999054809,4.909123000945192,16.21753998109618,91,59
2-Step Pro,10000,90% split,split90,0.12,11,2.0271924976370226,3.692807502362978,16.21753998109618,91,59
2-Step Pro,10000,90% On Demand,od90,0.2,18,2.0271924976370226,7.332807502362979,16.21753998109618,91,59
2-Step Pro,25000,Weekend holding,weekend,0.12,18,1.6217539981096183,7.738246001890383,40.54384995274046,146,95
2-Step Pro,25000,Weekly 80%,weekly,0.08,12,2.027192497637023,4.212807502362978,40.54384995274046,146,95
2-Step Pro,25000,On Demand 80%,od80,0.12,18,2.027192497637023,7.332807502362979,40.54384995274046,146,95
2-Step Pro,25000,90% split,split90,0.12,18,5.067981244092557,4.292018755907444,40.54384995274046,146,95
2-Step Pro,25000,90% On Demand,od90,0.2,29,5.067981244092557,10.012018755907445,40.54384995274046,146,95
2-Step Pro,50000,Weekend holding,weekend,0.12,29,3.2435079962192366,11.836492003780766,81.08769990548092,245,159
2-Step Pro,50000,Weekly 80%,weekly,0.08,20,4.054384995274046,6.345615004725954,81.08769990548092,245,159
2-Step Pro,50000,On Demand 80%,od80,0.12,29,4.054384995274046,11.025615004725957,81.08769990548092,245,159
2-Step Pro,50000,90% split,split90,0.12,29,10.135962488185115,4.944037511814887,81.08769990548092,245,159
2-Step Pro,50000,90% On Demand,od90,0.2,49,10.135962488185115,15.34403751181489,81.08769990548092,245,159
2-Step Pro,100000,Weekend holding,weekend,0.12,53,6.487015992438473,21.07298400756153,162.17539981096184,445,289
2-Step Pro,100000,Weekly 80%,weekly,0.08,36,8.108769990548092,10.61123000945191,162.17539981096184,445,289
2-Step Pro,100000,On Demand 80%,od80,0.12,53,8.108769990548092,19.451230009451912,162.17539981096184,445,289
2-Step Pro,100000,90% split,split90,0.12,53,20.27192497637023,7.288075023629773,162.17539981096184,445,289
2-Step Pro,100000,90% On Demand,od90,0.2,89,20.27192497637023,26.00807502362977,162.17539981096184,445,289
2-Step Pro,200000,Weekend holding,weekend,0.12,107,12.974031984876946,42.665968015123056,324.35079962192367,888,577
2-Step Pro,200000,Weekly 80%,weekly,0.08,71,16.217539981096184,20.702460018903817,324.35079962192367,888,577
2-Step Pro,200000,On Demand 80%,od80,0.12,107,16.217539981096184,39.42246001890382,324.35079962192367,888,577
2-Step Pro,200000,90% split,split90,0.12,107,40.54384995274046,15.096150047259542,324.35079962192367,888,577
2-Step Pro,200000,90% On Demand,od90,0.2,178,40.54384995274046,52.01615004725954,324.35079962192367,888,577
