Plan,Size,Basis,P_pay_off,P_pay_on,P_yr1_off,P_yr1_on,E_off,E_on,BE_off,BE_on,BE_dlt,S_opex_off,S_opex_on,Locked,Rec,Changed,List,Left_off,Left_on,Loaded_on
Instant,5000,year-1,0.21900833333333333,0.22003333333333333,0.07101666666666666,0.07059166666666666,13.953925310580649,13.6093031005111,13.953925310580649,13.6093031005111,-0.34462221006954863,40.820655653049926,40.34680011420429,49,49,False,75,6.543475477560058,6.922559908636565,32.27744009136344
Instant,10000,year-1,0.21900833333333333,0.22003333333333333,0.07101666666666666,0.07059166666666666,27.907850621161298,27.2186062010222,27.907850621161298,27.2186062010222,-0.6892444201390973,60.54171515905716,59.5940040813659,69,69,False,106,6.76662787275427,7.524796734907277,47.675203265092726
Instant,25000,year-1,0.21900833333333333,0.22003333333333333,0.07101666666666666,0.07059166666666666,69.76962655290323,68.0465155025555,69.76962655290323,68.0465155025555,-1.7231110503477396,119.70489367707884,117.33561598285071,139,139,False,214,15.436085058336928,17.331507213719433,93.86849278628057
Instant,50000,year-1,0.21900833333333333,0.22003333333333333,0.07101666666666666,0.07059166666666666,139.53925310580647,136.093031005111,139.53925310580647,136.093031005111,-3.446222100695479,218.31019120711497,213.57163581865868,239,239,False,368,16.551847034308025,20.342691345073064,170.85730865492695
Instant,100000,year-1,0.21900833333333333,0.22003333333333333,0.07101666666666666,0.07059166666666666,279.07850621161293,272.186062010222,279.07850621161293,272.186062010222,-6.892444201390958,415.5207862671873,406.0436754902747,439,439,False,675,18.78337098625019,26.365059607780267,324.8349403922198
1-Step,5000,first,0.08682500000000001,0.09356666666666667,0.024675000000000002,0.027991666666666665,5.2291027016213105,6.214358938507985,5.7262876246297925,6.855836728394791,1.1295491037649983,33.104831779161884,34.65796179683876,36,36,False,55,2.316134576670489,1.0736305625289901,27.72636943747101
1-Step,10000,first,0.08682500000000001,0.09356666666666667,0.024675000000000002,0.027991666666666665,10.458205403242621,12.42871787701597,11.452575249259585,13.711673456789581,2.2590982075299966,41.60719750297943,44.713457538333174,60,60,False,92,14.714241997616455,12.229233969333457,35.77076603066654
1-Step,25000,first,0.08682500000000001,0.09356666666666667,0.024675000000000002,0.027991666666666665,26.14551350810655,31.07179469253992,28.63143812314896,34.27918364197395,5.6477455188249905,67.11429467443206,74.87994476281642,120,120,False,185,42.30856426045435,36.09604418974686,59.90395581025314
1-Step,50000,first,0.08682500000000001,0.09356666666666667,0.024675000000000002,0.027991666666666665,52.2910270162131,62.14358938507984,57.26287624629792,68.5583672839479,11.295491037649981,109.62612329351977,125.15742347028849,193,193,False,297,66.69910136518419,54.27406122376921,100.1259387762308
1-Step,100000,first,0.08682500000000001,0.09356666666666667,0.024675000000000002,0.027991666666666665,104.5820540324262,124.28717877015968,114.52575249259584,137.1167345678958,22.590982075299962,194.6497805316952,225.71238088523265,335,335,False,515,112.28017557464383,87.43009529181387,180.56990470818613
