Plan,Size,N,BE,Error,Wage,Loaded,S_opex,Rec,List,Low,Low_name,Low_ok,First_ok,First_ok_name,Low_left,Rec_left,Book_pnl,Mkt
Instant,5000,15,14.199577908780968,1.419957790878097,16.30720668080123,32.9267423804603,41.15842797557537,59,91,39.0,FXIFY,True,39.0,FXIFY,-1.7267423804602942,14.273257619539706,214.09886429309557,11.8
Instant,10000,25,28.399155817561937,2.839915581756194,16.734736443968306,48.97380784328644,61.217259804108046,79,122,58.0,Alpha Capital,False,70.0,FundingPips,-2.5738078432864313,14.226192156713566,355.65480391783916,15.8
Instant,25000,28,70.99788954390483,7.099788954390483,18.017325733469526,97.11500423176486,121.39375528970606,139,214,118.0,Alpha Capital,False,149.0,FXIFY,-2.7150042317648513,14.084995768235146,394.3798815105841,27.8
Instant,50000,18,141.99577908780967,14.199577908780967,20.15497454930489,177.35033154589553,221.6879144323694,239,368,154.0,Alpha Capital,False,243.0,Blue Guardian,-54.150331545895526,13.849668454104489,249.2940321738808,47.800000000000004
Instant,100000,12,283.99155817561933,28.399155817561933,24.430272180975624,337.82098617415693,422.27623271769613,449,691,274.0,Alpha Capital,False,444.0,FundingPips,-118.62098617415691,21.379013825843117,256.5481659101174,89.80000000000001
1-Step,5000,8,5.927272946949476,0.5927272946949476,19.18494903623674,26.704949277881163,33.38118659735145,36,55,35.0,Fintokei,True,35.0,Fintokei,1.2950507221188374,2.095050722118838,16.760405776950705,7.2
1-Step,10000,14,11.854545893898951,1.1854545893898951,19.687925228198004,33.72792571148685,42.15990713935856,60,92,71.0,Fintokei,True,71.0,Fintokei,23.072074288513157,14.272074288513153,199.80904003918414,12.0
1-Step,25000,18,29.63636473474737,2.9636364734747374,21.196853804081794,54.79685501230391,68.49606876537987,120,185,135.0,Hola Prime,True,135.0,Hola Prime,53.20314498769609,41.20314498769609,741.6566097785296,24.0
1-Step,50000,14,59.27272946949475,5.927272946949476,23.711734763888106,89.91173718033232,112.3896714754154,193,297,231.0,Fintokei,True,231.0,Fintokei,94.88826281966769,64.48826281966768,902.8356794753475,38.6
1-Step,100000,10,118.5454589389895,11.854545893898951,28.741496683500735,160.14150151638918,200.17687689548646,335,515,398.0,Alpha Capital,True,398.0,Alpha Capital,158.25849848361085,107.85849848361082,1078.584984836108,67.0
1-Step,200000,3,237.090917877979,23.709091787797902,38.80102052272599,300.6010301885029,375.7512877356286,654,1006,719.0,Blue Guardian,True,719.0,Blue Guardian,274.59896981149717,222.59896981149717,667.7969094344915,130.8
2-Step Lite,5000,10,7.608099133083824,0.7608099133083824,22.06269139167225,31.431600438064457,39.289500547580566,45,69,18.0,Maven,False,38.0,Hola Prime,-17.03160043806446,4.568399561935543,45.68399561935543,9.0
2-Step Lite,10000,18,15.216198266167648,1.5216198266167649,22.6411140124277,40.378932105212115,50.47366513151514,59,91,35.0,Maven,False,50.0,FundingPips,-12.378932105212115,6.8210678947878876,122.77922210618198,11.8
2-Step Lite,25000,22,38.04049566541912,3.8040495665419125,24.37638187469406,67.2209271066551,84.02615888331887,99,152,79.0,Maven,False,94.0,Alpha Capital,-4.020927106655094,11.979072893344906,263.53960365358796,19.8
2-Step Lite,50000,16,76.08099133083824,7.608099133083825,27.26849497847132,111.9575854423934,139.94698180299173,151,232,151.0,Maven,True,151.0,Maven,8.842414557606617,8.842414557606617,141.47863292170587,30.200000000000003
2-Step Lite,100000,12,152.1619826616765,15.21619826616765,33.05272118602585,201.43090211387,251.78862764233747,269,414,279.0,Maven,True,279.0,Maven,21.769097886130027,13.769097886130027,165.22917463356032,53.800000000000004
2-Step Lite,200000,4,304.323965323353,30.4323965323353,44.62117360113489,380.3775354568232,475.47191932102896,499,768,238.0,BrightFunded,False,638.0,Alpha Capital,-189.97753545682318,18.822464543176864,75.28985817270745,99.80000000000001
2-Step Pro,5000,6,7.530644043452325,0.7530644043452326,21.103443939860416,30.387152387657974,37.983940484572464,45,69,18.0,Maven,False,35.0,Fintokei,-15.987152387657973,5.612847612342026,33.67708567405216,9.0
2-Step Pro,10000,12,15.06128808690465,1.5061288086904652,21.656717751017812,39.224134646612924,49.030168308266155,59,91,35.0,Maven,False,47.0,FundingPips,-11.224134646612924,7.9758653533870785,95.71038424064494,11.8
2-Step Pro,25000,16,37.65322021726163,3.765322021726163,23.316539184489976,65.73508142347777,82.16885177934721,95,146,79.0,Maven,False,94.0,Alpha Capital,-2.535081423477763,10.264918576522234,164.23869722435575,19.0
2-Step Pro,50000,14,75.30644043452325,7.530644043452326,26.082908240276918,109.9199927182525,137.39999089781563,163,251,151.0,Maven,True,151.0,Maven,10.88000728174751,20.480007281747504,286.72010194446506,32.6
2-Step Pro,100000,10,150.6128808690465,15.061288086904652,31.615646351850813,198.28981530780197,247.86226913475247,296,455,279.0,Maven,True,279.0,Maven,24.910184692198044,38.51018469219804,385.1018469219804,59.2
2-Step Pro,200000,5,301.225761738093,30.122576173809303,42.6811225749986,375.0294604869009,468.78682560862615,577,888,238.0,BrightFunded,False,638.0,Alpha Capital,-184.6294604869009,86.5705395130991,432.85269756549553,115.4
