Plan,Size,n,Rec,Live,Low,Median,Average,High,vs_low,vs_med,vs_avg,vs_high,rank,n_field,Sell
Instant,5000,7,72,72.0,39.0,54.0,58.57142857142857,87.0,84.61538461538463,33.33333333333333,22.926829268292682,-17.24137931034483,6,8,premium — under the high
Instant,10000,7,121,121.0,58.0,79.0,90.57142857142857,143.0,108.62068965517241,53.16455696202531,33.596214511041026,-15.384615384615385,7,8,premium — under the high
Instant,25000,7,274,242.0,118.0,156.0,190.0,295.0,132.20338983050848,75.64102564102564,44.21052631578948,-7.118644067796609,7,8,premium — under the high
Instant,50000,7,547,389.0,154.0,249.0,304.85714285714283,551.0,255.19480519480518,119.67871485943773,79.4283036551078,-0.7259528130671544,7,8,premium — under the high
Instant,100000,7,1094,676.0,274.0,467.0,517.2857142857143,839.0,299.27007299270076,134.26124197002142,111.48853907760285,30.39332538736592,8,8,stretch — above the high
1-Step,5000,2,47,36.0,47.0,153.5,153.5,260.0,0.0,-69.38110749185668,-69.38110749185668,-81.92307692307692,1,3,yes — at/under median
1-Step,10000,3,71,60.0,71.0,92.0,204.33333333333334,450.0,0.0,-22.826086956521742,-65.25285481239804,-84.22222222222221,1,4,yes — at/under median
1-Step,25000,3,149,120.0,135.0,220.0,195.33333333333334,231.0,10.370370370370363,-32.27272727272727,-23.72013651877134,-35.497835497835496,2,4,yes — at/under median
1-Step,50000,3,249,193.0,263.0,330.0,321.0,370.0,-5.323193916349811,-24.545454545454547,-22.429906542056077,-32.7027027027027,1,4,yes — at/under median
1-Step,100000,3,449,335.0,463.0,570.0,537.3333333333334,579.0,-3.0237580993520474,-21.228070175438596,-16.43920595533499,-22.45250431778929,1,4,yes — at/under median
1-Step,200000,3,829,654.0,839.0,1100.0,1032.6666666666667,1159.0,-1.1918951132300348,-24.636363636363633,-19.722401549386703,-28.472821397756686,1,4,yes — at/under median
2-Step Lite,5000,4,31,18.0,31.0,36.0,37.5,47.0,0.0,-13.888888888888884,-17.333333333333336,-34.04255319148937,1,5,yes — at/under median
2-Step Lite,10000,4,55,33.0,55.0,65.0,64.0,71.0,0.0,-15.384615384615385,-14.0625,-22.535211267605636,1,5,yes — at/under median
2-Step Lite,25000,4,119,66.0,119.0,146.0,140.5,151.0,0.0,-18.493150684931503,-15.302491103202842,-21.19205298013245,1,5,yes — at/under median
2-Step Lite,50000,4,199,133.0,199.0,240.0,245.5,303.0,0.0,-17.08333333333333,-18.94093686354379,-34.32343234323433,1,5,yes — at/under median
2-Step Lite,100000,4,343,241.0,343.0,395.0,395.5,449.0,0.0,-13.164556962025319,-13.27433628318584,-23.60801781737194,1,5,yes — at/under median
2-Step Lite,200000,1,549,477.0,799.0,799.0,799.0,799.0,-31.289111389236545,-31.289111389236545,-31.289111389236545,-31.289111389236545,1,2,yes — at/under median
2-Step Pro,5000,11,29,20.0,18.0,29.0,31.454545454545453,44.0,61.111111111111114,0.0,-7.803468208092479,-34.09090909090909,5,12,yes — at/under median
2-Step Pro,10000,13,53,36.0,35.0,60.0,64.15384615384616,103.0,51.42857142857142,-11.66666666666667,-17.386091127098325,-48.54368932038835,4,14,yes — at/under median
2-Step Pro,25000,13,125,85.0,79.0,142.0,153.0,290.0,58.22784810126582,-11.971830985915489,-18.300653594771244,-56.896551724137936,2,14,yes — at/under median
2-Step Pro,50000,13,213,163.0,151.0,231.0,246.07692307692307,400.0,41.059602649006635,-7.792207792207795,-13.441700531416068,-46.75,2,14,yes — at/under median
2-Step Pro,100000,14,399,296.0,279.0,411.0,438.57142857142856,626.0,43.01075268817205,-2.9197080291970767,-9.022801302931594,-36.26198083067093,5,15,yes — at/under median
2-Step Pro,200000,7,749,577.0,238.0,751.0,801.4285714285714,1253.0,214.70588235294116,-0.26631158455392434,-6.541889483065955,-40.22346368715084,3,8,yes — at/under median
