Plan,Size,Basis,Rec_sale,Rec_list,Rec_m,E_payout,E_first,E_cost,P_pay,P_yr1,BE,px_20,px_40,px_60,Live_sale,Live_m,Family_median,vs_median,vs_BE,vs_20,vs_40,vs_60
Instant,5000,year-1,63,97,0.7746098744637941,14.199577908780968,43.76269856818824,14.199577908780968,0.2207,0.07161,14.199577908780968,17.74947238597621,23.665963181301613,35.49894477195242,72.0,0.8027836401558199,63.0,0.0,343.6751599569803,254.94012796558428,166.20509597418817,77.47006398279214
Instant,10000,year-1,99,152,0.7131398402266471,28.399155817561937,87.52539713637648,28.399155817561937,0.2207,0.07161,28.399155817561937,35.49894477195242,47.33192636260323,70.99788954390483,121.0,0.7652962329127113,103.0,-3.8834951456310662,248.60191139477027,178.8815291158162,109.16114683686216,39.4407645579081
Instant,25000,year-1,199,306,0.643226685709021,70.99788954390483,218.8134928409412,70.99788954390483,0.2207,0.07161,70.99788954390483,88.74736192988104,118.32981590650806,177.49472385976208,242.0,0.7066202911408892,177.5,12.112676056338035,180.2900216871082,124.2320173496866,68.17401301226494,12.116008674843304
Instant,50000,year-1,319,491,0.5548721658689352,141.99577908780967,437.6269856818824,141.99577908780967,0.2207,0.07161,141.99577908780967,177.49472385976208,236.65963181301612,354.98944771952415,389.0,0.6349722902627001,284.0,12.323943661971825,124.6545651210742,79.72365209685934,34.79273907264451,-10.138173951570328
Instant,100000,year-1,529,814,0.4631539542993964,283.99155817561933,875.2539713637648,283.99155817561933,0.2207,0.07161,283.99155817561933,354.98944771952415,473.31926362603224,709.9788954390483,676.0,0.5798941447106223,513.0,3.1189083820662766,86.27314255336715,49.01851404269373,11.763885532020279,-25.490742978653135
1-Step,5000,first,36,55,0.7617755903949398,5.405198745782165,5.405198745782165,8.576078745782166,0.08808,0.02921,5.927272946949476,7.4090911836868445,9.878788244915793,14.818182367373689,36.0,0.7617755903949398,50.0,-28.000000000000004,507.3619406801187,385.88955254409495,264.41716440807124,142.94477627204748
1-Step,10000,first,60,92,0.7317467084739278,10.81039749156433,10.81039749156433,16.09519749156433,0.08808,0.02921,11.854545893898951,14.818182367373689,19.757576489831585,29.636364734747378,60.0,0.7317467084739278,79.0,-24.0506329113924,406.1349505667656,304.9079604534125,203.68097034005936,102.45398022670625
1-Step,25000,first,120,185,0.6867033855924097,27.025993728910823,27.025993728910823,37.59559372891083,0.08808,0.02921,29.63636473474737,37.045455918434214,49.39394122457895,74.09091183686843,120.0,0.6867033855924097,183.5,-34.60490463215259,304.90796045341256,223.92636836273007,142.94477627204753,61.96318418136504
1-Step,50000,first,193,297,0.6318578888195769,54.051987457821646,54.051987457821646,71.05142745782165,0.08808,0.02921,59.27272946949475,74.09091183686843,98.78788244915792,148.18182367373686,193.0,0.6318578888195769,280.5,-31.194295900178247,225.61348486461927,160.49078789169542,95.36809091877154,30.24539394584771
1-Step,100000,first,335,515,0.5892215674159902,108.10397491564328,108.10397491564328,137.6107749156433,0.08808,0.02921,118.5454589389895,148.18182367373686,197.57576489831584,296.3636473474737,335.0,0.5892215674159902,488.5,-31.422722620266118,182.5920140664442,126.07361125315535,69.55520843986649,13.036805626577674
1-Step,200000,first,654,1006,0.5813268045393172,216.20794983128656,216.20794983128656,273.8122698312866,0.08808,0.02921,237.090917877979,296.3636473474737,395.1515297966317,592.7272946949474,654.0,0.5813268045393172,913.5,-28.407224958949094,175.8435480588873,120.67483844710986,65.50612883533238,10.337419223554933
2-Step Lite,5000,first,18,28,0.5160387039380196,6.800423329115645,6.800423329115645,8.711303329115646,0.10616,0.03378,7.608099133083824,9.510123916354779,12.680165221806375,19.020247832709558,18.0,0.5160387039380196,32.0,-43.75,136.5899771432655,89.27198171461241,41.953986285959274,-5.364009142693793
2-Step Lite,10000,first,33,51,0.48169313156874877,13.60084665823129,13.60084665823129,17.10412665823129,0.10616,0.03378,15.216198266167648,19.020247832709558,25.36033044361275,38.040495665419115,33.0,0.48169313156874877,59.5,-44.53781512605042,116.87414571466005,73.49931657172806,30.12448742879601,-13.25034171413597
2-Step Lite,25000,first,66,102,0.37865641446093595,34.002116645578226,34.002116645578226,41.00867664557823,0.10616,0.03378,38.04049566541912,47.5506195817739,63.400826109031875,95.1012391635478,66.0,0.37865641446093595,142.5,-53.68421052631579,73.49931657172802,38.79945325738243,4.099589943036808,-30.600273371308784
2-Step Lite,50000,first,133,205,0.38252997525446275,68.00423329115645,68.00423329115645,82.12351329115646,0.10616,0.03378,76.08099133083824,95.1012391635478,126.80165221806375,190.2024783270956,133.0,0.38252997525446275,230.5,-42.29934924078091,74.81370533363506,39.850964266908036,4.88822320018103,-30.074517866545982
2-Step Lite,100000,first,241,371,0.329489516255963,136.0084665823129,136.0084665823129,161.59302658231292,0.10616,0.03378,152.1619826616765,190.2024783270956,253.6033044361275,380.4049566541912,241.0,0.329489516255963,399.0,-39.59899749373433,58.383845809797165,26.707076647837734,-4.969692514121704,-36.64646167608113
2-Step Lite,200000,first,477,734,0.32357389273663345,272.0169331646258,272.0169331646258,322.65525316462583,0.10616,0.03378,304.323965323353,380.4049566541912,507.206608872255,760.8099133083824,477.0,0.32357389273663345,751.0,-36.48468708388815,56.7408598574134,25.39268788593072,-5.955484085551976,-37.30365605703464
2-Step Pro,5000,first,20,31,0.5486641314440541,6.627117371118915,6.627117371118915,9.026717371118917,0.11998,0.04195,7.530644043452325,9.413305054315405,12.551073405753876,18.82661010863081,20.0,0.5486641314440541,32.0,-37.5,165.5815343893384,112.46522751147077,59.34892063360304,6.232613755735383
2-Step Pro,10000,first,36,55,0.5118468127156158,13.25423474223783,13.25423474223783,17.57351474223783,0.11998,0.04195,15.06128808690465,18.82661010863081,25.10214681150775,37.65322021726162,36.0,0.5118468127156158,59.5,-39.49579831932773,139.02338095040454,91.21870476032367,43.41402857024272,-4.390647619838162
2-Step Pro,25000,first,85,131,0.49018956640476974,33.135586855594575,33.135586855594575,43.33388685559457,0.11998,0.04195,37.65322021726163,47.06652527157703,62.75536702876938,94.13305054315406,85.0,0.49018956640476974,142.5,-40.35087719298246,125.74430423093763,80.59544338475013,35.446582538562566,-9.702278307624933
2-Step Pro,50000,first,163,251,0.47344838213994384,66.27117371118915,66.27117371118915,85.82791371118915,0.11998,0.04195,75.30644043452325,94.13305054315406,125.51073405753876,188.2661010863081,163.0,0.47344838213994384,230.5,-29.28416485900217,116.44895052731079,73.15916042184864,29.86937031638648,-13.420419789075677
2-Step Pro,100000,first,296,455,0.4322417992487219,132.5423474223783,132.5423474223783,168.0564274223783,0.11998,0.04195,150.6128808690465,188.2661010863081,251.0214681150775,376.5322021726162,296.0,0.4322417992487219,399.0,-25.814536340852136,96.5303354481104,57.22426835848835,17.91820126886625,-21.387865820755824
2-Step Pro,200000,first,577,888,0.42060111812000595,265.0846948447566,265.0846948447566,334.3131548447566,0.11998,0.04195,301.225761738093,376.5322021726162,502.042936230155,753.0644043452324,577.0,0.42060111812000595,751.0,-23.16910785619174,91.55068167831031,53.24054534264826,14.930409006986189,-23.37972732867587
