Plan,Size,N,BE,S_opex,Old,New,List,Left0,Left1,Beat,Changed
Instant,5000,15,13.6093031005111,40.34680011420429,49,49,75,6.922559908636565,6.922559908636565,BG $54 / FP $48,False
Instant,10000,25,27.2186062010222,59.5940040813659,69,69,106,7.524796734907277,7.524796734907277,FP $70 / BG $75,False
Instant,25000,28,68.0465155025555,117.33561598285073,139,149,229,17.331507213719448,25.331507213719448,FXIFY Lite $149 / BG $156,True
Instant,50000,18,136.093031005111,213.57163581865868,239,239,368,20.342691345073064,20.342691345073064,BG $243,False
Instant,100000,12,272.186062010222,406.0436754902747,439,439,675,26.365059607780267,26.365059607780267,FP $444 / BG $467,False
1-Step,5000,8,6.855836728394791,34.65796179683876,36,45,69,1.0736305625289901,8.27363056252899,Hola / BG $47 (Alpha $40),True
1-Step,10000,14,13.71167345678958,44.71345753833317,60,69,106,12.229233969333457,19.42923396933346,Fintokei / Hola $71,True
1-Step,25000,18,34.27918364197395,74.87994476281642,120,129,198,36.09604418974686,43.296044189746866,Hola $135,True
1-Step,50000,14,68.5583672839479,125.15742347028848,193,219,337,54.27406122376921,75.07406122376922,Fintokei $231,True
1-Step,100000,10,137.1167345678958,225.71238088523265,335,379,583,87.43009529181387,122.63009529181386,Alpha / Fintokei / BG $398–399,True
1-Step,200000,3,274.2334691357916,426.82229571512096,654,699,1075,181.74216342790322,217.74216342790322,BG $719,True
2-Step Lite,5000,10,7.76216792212866,39.50134513251722,42,49,75,1.9989238939862268,7.598923893986228,stack floor (Maven $18 fails),True
2-Step Lite,10000,18,15.52433584425732,50.89735430138845,55,59,91,3.2821165588892427,6.4821165588892455,Alpha 10% $62,True
2-Step Lite,25000,22,38.8108396106433,85.08538180800211,94,99,152,7.131694553598308,11.131694553598308,Ment $119 (Alpha 6% $94),True
2-Step Lite,50000,16,77.6216792212866,142.0654276523582,149,149,229,5.5476578781134265,5.5476578781134265,Maven $151,False
2-Step Lite,100000,12,155.2433584425732,256.02551934107044,269,275,423,10.379584527143663,15.179584527143646,Maven $279,True
2-Step Lite,200000,4,310.4867168851464,483.9457027184949,499,549,845,12.043437825204137,52.04343782520414,Alpha 6% $638,True
2-Step Pro,5000,6,8.10876999054809,38.77886366182914,45,55,85,4.976909070536685,12.976909070536685,E8 $59,True
2-Step Pro,10000,12,16.21753998109618,50.62001466277952,59,69,106,6.703988269776389,14.703988269776389,step above Lite,True
2-Step Pro,25000,16,40.54384995274046,86.1434676656306,95,109,168,7.085225867495524,18.285225867495527,Ment $119,True
2-Step Pro,50000,14,81.08769990548092,145.3492226703824,159,169,260,10.920621863694066,18.92062186369408,Alpha 6% $174,True
2-Step Pro,100000,10,162.17539981096184,263.760732679886,289,309,475,20.191413856091174,36.191413856091174,Alpha 6% $318,True
2-Step Pro,200000,5,324.35079962192367,500.5837526988933,577,619,952,61.132997840885366,94.73299784088539,Alpha 6% $638,True
