Plan,Size,List,Sale,Off,Aug13,Delta
Instant,5000,75,49,35%,72,-23
Instant,10000,106,69,35%,121,-52
Instant,25000,214,139,35%,242,-103
Instant,50000,368,239,35%,389,-150
Instant,100000,675,439,35%,676,-237
1-Step,5000,55,36,35%,36,0
1-Step,10000,92,60,35%,60,0
1-Step,25000,185,120,35%,120,0
1-Step,50000,297,193,35%,193,0
1-Step,100000,515,335,35%,335,0
1-Step,200000,1006,654,35%,654,0
2-Step Lite,5000,65,42,35%,18,24
2-Step Lite,10000,85,55,35%,33,22
2-Step Lite,25000,145,94,35%,66,28
2-Step Lite,50000,229,149,35%,133,16
2-Step Lite,100000,414,269,35%,241,28
2-Step Lite,200000,768,499,35%,477,22
2-Step Pro,5000,69,45,35%,20,25
2-Step Pro,10000,91,59,35%,36,23
2-Step Pro,25000,146,95,35%,85,10
2-Step Pro,50000,245,159,35%,163,-4
2-Step Pro,100000,445,289,35%,296,-7
2-Step Pro,200000,888,577,35%,577,0
